Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
AAPL,157.48,Call,157.5,08/11/17,1,0.02,0.03,0.03,0.02,53345,15694,3.4,0.00%,08/11/17
MS,45.65,Put,44.5,08/18/17,6,0.22,0.23,0.24,0.23,3018,887,3.4,30.95%,08/11/17
AMZN,967.99,Call,957.5,08/11/17,1,9.80,10.4,11.00,10.81,936,278,3.37,0.00%,08/11/17
JD,45.9,Call,46,09/15/17,34,2.50,2.93,3.35,2.55,9121,2725,3.35,53.67%,08/11/17
MTRN,37.7,Call,40,08/18/17,6,0.00,0.5,0.50,0.2,505,151,3.34,55.60%,08/11/17
TGH,15.65,Put,15,08/18/17,6,0.15,0.3,0.45,0.3,2039,611,3.34,79.34%,08/11/17
NVDA,155.96,Put,152.5,08/11/17,1,0.01,0.02,0.03,0.01,11443,3439,3.33,0.00%,08/11/17
AMTD,43.82,Call,33,08/18/17,6,10.70,10.85,11.00,12.7,700,211,3.32,111.11%,08/11/17
JPM,91.42,Call,91.5,08/11/17,1,0.00,0.04,0.04,0.03,2493,751,3.32,0.00%,08/11/17
GS,224.15,Call,225,08/11/17,1,0.00,0.01,0.01,0.01,2097,636,3.3,0.00%,08/11/17
CBS,66.71,Put,80,09/15/17,34,13.25,13.45,13.65,13.38,629,193,3.26,39.20%,08/11/17
TWTR,15.92,Call,16.5,09/01/17,20,0.32,0.33,0.33,0.33,557,173,3.22,38.34%,08/11/17
JCP,3.93,Call,4.5,09/01/17,20,0.01,0.05,0.08,0.07,683,212,3.22,58.17%,08/11/17
NTES,280.96,Put,275,08/11/17,1,0.00,0.05,0.05,0.1,768,239,3.21,0.00%,08/11/17
AAL,48.35,Call,47,08/11/17,1,1.30,1.37,1.44,1.16,593,186,3.19,0.00%,08/11/17
INTC,35.87,Put,35,11/17/17,97,1.15,1.17,1.19,1.16,2751,866,3.18,22.19%,08/11/17
YELP,42.03,Call,42,09/15/17,34,1.94,2,2.05,1.99,791,250,3.16,38.94%,08/11/17
DIS,101.99,Call,101,08/11/17,1,0.93,1.01,1.08,0.99,1082,342,3.16,0.00%,08/11/17
GS,224.15,Call,222.5,08/11/17,1,1.56,1.86,2.16,1.9,918,292,3.14,0.00%,08/11/17
JCP,3.93,Call,3,08/18/17,6,0.89,0.93,0.96,0.89,541,173,3.13,0.00%,08/11/17
KR,23.49,Call,23.5,08/18/17,6,0.35,0.4,0.45,0.4,770,247,3.12,36.77%,08/11/17
BOFI,27.18,Call,12.5,01/19/18,160,14.40,14.65,14.90,9.7,1045,337,3.1,0.00%,08/11/17
GNE,5.9,Put,10,08/18/17,6,4.00,4.25,4.50,3.49,809,262,3.09,354.17%,08/11/17
CBS,66.71,Call,67.5,09/15/17,34,1.33,1.55,1.76,1.51,8079,2622,3.08,23.46%,08/11/17
KEM,19.45,Call,9,09/15/17,34,10.30,10.65,11.00,7.4,2410,782,3.08,170.48%,08/11/17
TWTR,15.92,Call,17,08/25/17,13,0.12,0.14,0.15,0.14,1616,524,3.08,41.90%,08/11/17
KSS,38.64,Call,37,08/11/17,1,1.55,1.7,1.85,1.7,1092,354,3.08,0.00%,08/11/17
AMZN,967.99,Call,950,08/11/17,1,17.95,18.28,18.60,18.07,515,167,3.08,0.00%,08/11/17
SPNC,38.45,Call,35,08/18/17,6,3.40,4.7,6.00,3.57,1225,400,3.06,152.99%,08/11/17
T,38.1,Put,39,11/17/17,97,1.99,2.03,2.07,2.01,1551,510,3.04,20.33%,08/11/17
SCCO,38.38,Put,27,12/15/17,125,0.10,0.15,0.20,0.45,573,189,3.03,37.33%,08/11/17
NVDA,155.96,Call,150,11/17/17,97,17.80,18,18.20,17.95,555,184,3.02,46.83%,08/11/17
PCLN,1854.17,Put,1855,08/11/17,1,0.25,0.93,1.60,1.01,541,179,3.02,0.00%,08/11/17
MCD,157.3,Put,157.5,08/11/17,1,0.07,0.14,0.21,0.2,5335,1765,3.02,0.00%,08/11/17
MRO,12.12,Call,12,08/11/17,1,0.10,0.12,0.13,0.1,2059,682,3.02,0.00%,08/11/17
AMZN,967.99,Put,947.5,08/11/17,1,0.00,0.01,0.01,0.01,1136,376,3.02,0.00%,08/11/17
GS,224.15,Put,222.5,08/11/17,1,0.00,0.03,0.03,0.02,2894,963,3.01,0.00%,08/11/17
TSLA,357.87,Put,357.5,08/18/17,6,6.65,6.83,7.00,6.79,1277,426,3,42.12%,08/11/17
GOOG,914.39,Call,917.5,08/11/17,1,0.00,0.1,0.10,0.05,555,185,3,0.00%,08/11/17
ABB,22.83,Call,24,12/15/17,125,0.45,0.5,0.55,0.4,1563,521,3,17.42%,08/11/17
CSCO,31.47,Put,27,09/08/17,27,0.02,0.05,0.08,0.06,1500,500,3,34.16%,08/11/17
JD,45.9,Put,45.5,08/18/17,6,1.72,1.79,1.85,1.85,2087,698,2.99,92.91%,08/11/17
WFT,3.95,Put,10,01/19/18,160,3.70,5.7,7.70,6.07,807,273,2.96,0.00%,08/11/17
JPM,91.42,Put,91.5,08/11/17,1,0.05,0.08,0.10,0.07,2305,778,2.96,0.00%,08/11/17
C,66.8,Call,25,01/19/18,160,40.00,41.9,43.80,43.35,900,306,2.94,0.00%,08/11/17
BLDR,16.34,Call,14,09/15/17,34,2.35,2.48,2.60,2.7,1000,342,2.92,44.47%,08/11/17
NVDA,155.96,Put,155,08/11/17,1,0.01,0.02,0.02,0.02,23000,7910,2.91,0.00%,08/11/17
NVDA,155.96,Call,162.5,08/18/17,6,1.35,1.44,1.52,1.45,3345,1154,2.9,51.76%,08/11/17
CRM,88.29,Put,77.5,09/15/17,34,0.34,0.54,0.73,0.44,990,344,2.88,36.96%,08/11/17
NVDA,155.96,Put,95,10/20/17,69,0.13,0.17,0.21,0.18,555,193,2.88,54.21%,08/11/17
SNAP,11.83,Put,11.5,09/01/17,20,0.50,0.64,0.77,0.6,698,243,2.87,74.68%,08/11/17
GOOG,914.39,Call,910,08/11/17,1,3.40,4.5,5.60,4.5,611,214,2.86,0.00%,08/11/17
TWLO,31.38,Call,30.5,08/11/17,1,0.87,0.93,0.99,1.21,1879,659,2.85,0.00%,08/11/17
AAP,107.34,Put,105,08/18/17,6,2.95,3.38,3.80,3.67,3848,1351,2.85,89.89%,08/11/17
BP,34.94,Call,35,08/25/17,13,0.37,0.43,0.48,1.6,2892,1016,2.85,17.74%,08/11/17
EDAP,2.7,Call,3,02/16/18,188,0.15,0.33,0.50,0.7,600,211,2.84,56.25%,08/11/17
MVO,4.98,Call,5,11/17/17,97,0.10,0.25,0.40,0.85,900,317,2.84,24.86%,08/11/17
OKE,52.41,Put,53,08/11/17,1,0.45,0.68,0.90,0.5,1254,443,2.83,0.00%,08/11/17
DDS,58.01,Call,57.5,08/18/17,6,1.90,2.1,2.30,2,4650,1644,2.83,67.86%,08/11/17
URBN,17.76,Put,17,08/18/17,6,0.60,0.65,0.70,0.7,4974,1773,2.81,121.45%,08/11/17
XLNX,62.42,Call,62.5,08/18/17,6,0.79,0.83,0.87,0.99,876,312,2.81,29.67%,08/11/17
TSLA,357.87,Call,362.5,08/11/17,1,0.00,0.03,0.03,0.01,4738,1694,2.8,0.00%,08/11/17
PXD,134.02,Call,135,12/15/17,125,10.30,10.55,10.80,10.8,1109,398,2.79,34.67%,08/11/17
EROS,7.25,Call,7.5,08/18/17,6,0.15,0.2,0.25,0.19,1831,659,2.78,89.68%,08/11/17
FE,32.17,Call,29,08/18/17,6,3.10,3.25,3.40,3.3,1523,551,2.76,62.04%,08/11/17
KO,45.59,Call,46,09/01/17,20,0.24,0.32,0.39,0.31,1005,366,2.75,11.61%,08/11/17
M,20.62,Put,21,09/15/17,34,1.18,1.22,1.25,1.24,4385,1595,2.75,41.09%,08/11/17
FEYE,14.01,Call,16,02/16/18,188,0.95,1.04,1.12,1,1969,718,2.74,43.12%,08/11/17
PHH,14.02,Put,14,08/18/17,6,0.10,0.13,0.15,0.1,512,187,2.74,20.75%,08/11/17
DRI,83.34,Put,77.5,09/15/17,34,0.50,0.58,0.65,0.67,507,186,2.73,25.85%,08/11/17
XOM,78.21,Call,80.5,08/25/17,13,0.08,0.12,0.16,0.1,602,221,2.72,13.61%,08/11/17
AMZN,967.99,Put,955,08/11/17,1,0.00,0.03,0.03,0.01,3314,1221,2.71,0.00%,08/11/17
AAPL,157.48,Call,230,04/20/18,251,0.50,0.59,0.68,0.53,768,284,2.7,25.22%,08/11/17
EFII,31.81,Call,30,09/15/17,34,2.50,3.1,3.70,3.1,527,195,2.7,55.45%,08/11/17
BIDU,223.49,Call,222.5,08/11/17,1,0.71,0.98,1.25,1.11,914,340,2.69,0.00%,08/11/17
VUZI,6.25,Call,7.5,09/15/17,34,0.00,0.2,0.20,0.1,905,341,2.65,59.69%,08/11/17
CALA,13.9,Call,15,08/18/17,6,0.20,0.33,0.45,0.3,538,205,2.62,111.22%,08/11/17
NFLX,171.4,Put,170,08/11/17,1,0.00,0.02,0.02,0.01,8220,3152,2.61,0.00%,08/11/17
THC,14.05,Put,10,02/16/18,188,0.75,0.85,0.95,0.85,5008,1917,2.61,70.11%,08/11/17
PRU,105.69,Put,97.5,09/15/17,34,0.62,0.72,0.82,0.79,829,319,2.6,27.54%,08/11/17
NVDA,155.96,Call,162.5,08/11/17,1,0.00,0.01,0.01,0.01,4175,1608,2.6,0.00%,08/11/17
NVDA,155.96,Put,157.5,08/11/17,1,1.42,1.61,1.80,1.5,7856,3027,2.6,0.00%,08/11/17
NVDA,155.96,Call,165,09/15/17,34,4.35,4.4,4.45,4.4,10138,3907,2.59,42.02%,08/11/17
T,38.1,Put,43,08/18/17,6,4.80,4.88,4.95,4,9500,3665,2.59,0.00%,08/11/17
AMZN,967.99,Put,957.5,08/11/17,1,0.00,0.05,0.05,0.15,1932,746,2.59,0.00%,08/11/17
ADBE,146.47,Call,160,01/19/18,160,4.85,4.98,5.10,5.1,1527,592,2.58,25.19%,08/11/17
FLR,39.07,Put,35,09/15/17,34,0.20,0.25,0.30,0.2,2090,814,2.57,33.31%,08/11/17
MYL,30.88,Call,31.5,08/11/17,1,0.00,0.06,0.06,0.02,1304,512,2.55,0.00%,08/11/17
XOM,78.21,Call,79,08/25/17,13,0.44,0.49,0.53,0.46,941,371,2.54,14.25%,08/11/17
DOW,63.26,Call,30,01/19/18,160,31.65,33.58,35.50,36.13,2040,807,2.53,59.62%,08/11/17
AMT,136.68,Put,50,01/19/18,160,0.00,0.15,0.15,0.1,753,298,2.53,62.16%,08/11/17
AAPL,157.48,Call,155,08/11/17,1,2.38,2.47,2.55,2.49,12629,5031,2.51,0.00%,08/11/17
NVDA,155.96,Put,135,10/20/17,69,3.20,3.28,3.35,3.25,3212,1286,2.5,42.88%,08/11/17
CLR,34.54,Put,30.5,08/18/17,6,0.00,0.1,0.10,0.18,1500,600,2.5,64.35%,08/11/17
GOOGL,930.09,Put,930,08/11/17,1,0.00,0.5,0.50,0.25,857,346,2.48,0.00%,08/11/17
NVDA,155.96,Call,155,08/18/17,6,4.05,4.13,4.20,4.2,11361,4577,2.48,49.78%,08/11/17
HIMX,8.16,Put,9,08/11/17,1,0.75,0.83,0.90,0.45,1015,411,2.47,0.00%,08/11/17
CSCO,31.47,Put,29,09/15/17,34,0.15,0.19,0.22,0.21,3144,1288,2.44,26.43%,08/11/17
BAC,23.86,Call,25,09/08/17,27,0.18,0.19,0.19,0.17,4240,1748,2.43,22.38%,08/11/17
ADM,41.26,Put,42,09/15/17,34,1.49,1.53,1.57,1.52,2165,895,2.42,22.95%,08/11/17
GOOG,914.39,Call,915,08/11/17,1,0.00,0.25,0.25,0.05,756,314,2.41,0.00%,08/11/17
GOOGL,930.09,Put,927.5,08/11/17,1,0.00,0.1,0.10,0.05,568,236,2.41,0.00%,08/11/17
BABA,151.7,Call,152.5,08/11/17,1,0.00,0.01,0.01,0.01,13039,5404,2.41,0.00%,08/11/17
GOOG,914.39,Put,915,08/11/17,1,0.15,0.7,1.25,1.1,1130,470,2.4,0.00%,08/11/17
CVX,109.23,Put,113,08/11/17,1,3.65,3.78,3.90,2.11,637,267,2.39,0.00%,08/11/17
PBI,12.68,Put,14,09/15/17,34,1.45,1.53,1.60,1.1,1450,606,2.39,42.64%,08/11/17
AMD,12.23,Call,12,09/22/17,41,1.03,1.07,1.11,1.02,519,218,2.38,59.09%,08/11/17
MRVL,15.39,Call,16,08/25/17,13,0.30,0.33,0.35,0.35,1062,448,2.37,50.92%,08/11/17
LEN,53.25,Put,23,01/18/19,524,0.35,0.47,0.59,0.6,1300,548,2.37,45.68%,08/11/17
NEM,36.53,Put,36,08/18/17,6,0.24,0.27,0.29,0.26,7490,3164,2.37,26.25%,08/11/17
BIDU,223.49,Put,215,08/11/17,1,0.00,0.01,0.01,0.02,1906,807,2.36,0.00%,08/11/17
TEVA,17.3,Call,17,08/18/17,6,0.68,0.72,0.75,0.68,1276,543,2.35,68.79%,08/11/17
SNAP,11.83,Put,11.5,08/18/17,6,0.28,0.32,0.35,0.33,4150,1772,2.34,84.87%,08/11/17
DDD,12.76,Put,16.5,08/18/17,6,3.70,3.78,3.85,3.1,666,285,2.34,127.37%,08/11/17
PG,91.34,Put,90,09/15/17,34,0.86,0.9,0.94,0.89,3575,1531,2.34,13.85%,08/11/17
ATVI,60.74,Put,53.5,08/18/17,6,0.01,0.03,0.04,0.01,600,257,2.33,52.58%,08/11/17
X,23.16,Put,23.5,08/18/17,6,0.77,0.78,0.79,0.76,2696,1159,2.33,54.78%,08/11/17
RIO,44.61,Call,37.5,08/18/17,6,7.00,7.15,7.30,9.8,782,337,2.32,75.95%,08/11/17
AAPL,157.48,Call,141,08/11/17,1,15.90,16.33,16.75,19.65,990,428,2.31,0.00%,08/11/17
PEP,116.51,Call,120,08/18/17,6,0.06,0.07,0.07,0.09,2870,1248,2.3,16.57%,08/11/17
AMZN,967.99,Put,952.5,08/11/17,1,0.00,0.07,0.07,0.02,1170,508,2.3,0.00%,08/11/17
GE,25.2,Call,25,08/11/17,1,0.18,0.2,0.21,0.22,997,437,2.28,0.00%,08/11/17
PCLN,1854.17,Put,1840,08/11/17,1,0.00,0.1,0.10,0.05,620,272,2.28,0.00%,08/11/17
XOM,78.21,Call,77.5,09/15/17,34,1.76,1.81,1.85,1.85,1047,463,2.26,14.78%,08/11/17
SNAP,11.83,Call,12.5,08/11/17,1,0.00,0.01,0.01,0.01,7496,3323,2.26,0.00%,08/11/17
GOOG,914.39,Put,905,08/11/17,1,0.00,0.05,0.05,0.05,626,277,2.26,0.00%,08/11/17
NUAN,16.15,Call,20,10/20/17,69,0.00,0.1,0.10,0.05,900,398,2.26,30.07%,08/11/17
ACXM,22.97,Call,22.5,11/17/17,97,1.65,1.8,1.95,4.81,710,315,2.25,32.77%,08/11/17
AMD,12.23,Put,11.5,08/25/17,13,0.25,0.26,0.27,0.25,2618,1164,2.25,64.26%,08/11/17
PEGA,53.03,Put,60,08/18/17,6,6.10,7.25,8.40,7.57,1094,489,2.24,84.16%,08/11/17
RHT,98.34,Call,110,09/15/17,34,0.25,0.33,0.40,0.25,1478,660,2.24,26.87%,08/11/17
EROS,7.25,Call,7.5,09/15/17,34,0.50,0.55,0.60,0.6,3866,1727,2.24,75.31%,08/11/17
BABA,151.7,Call,150,08/11/17,1,1.53,1.71,1.89,1.7,7444,3320,2.24,0.00%,08/11/17
LLNW,3.61,Put,2,09/15/17,34,0.00,0.05,0.05,0.05,2000,891,2.24,125.38%,08/11/17
AA,37.78,Call,41,08/11/17,1,0.00,0.05,0.05,0.15,534,239,2.23,0.00%,08/11/17
RDUS,35.54,Call,40,01/19/18,160,3.90,3.95,4.00,4,3582,1608,2.23,59.34%,08/11/17
SA,11.3,Put,16,11/17/17,97,4.90,5.1,5.30,6.15,1193,536,2.23,70.87%,08/11/17
DVA,56.55,Call,67.5,09/15/17,34,0.00,0.05,0.05,0.08,1560,702,2.22,26.75%,08/11/17
PCLN,1854.17,Put,1850,08/11/17,1,0.00,0.25,0.25,0.05,1360,617,2.2,0.00%,08/11/17
AMD,12.23,Call,12,09/01/17,20,0.77,0.79,0.81,0.75,713,324,2.2,60.39%,08/11/17
DE,126.7,Call,128,08/18/17,6,2.60,2.68,2.76,2.76,638,293,2.18,55.20%,08/11/17
NVDA,155.96,Put,152.5,08/25/17,13,3.50,3.58,3.65,3.65,1622,743,2.18,46.10%,08/11/17
JPM,91.42,Call,92.5,08/11/17,1,0.00,0.01,0.01,0.01,1853,855,2.17,0.00%,08/11/17
GS,224.15,Put,220,08/11/17,1,0.00,0.04,0.04,0.02,1023,474,2.16,0.00%,08/11/17
AMZN,967.99,Put,970,08/11/17,1,0.18,1.09,2.00,1.71,4495,2079,2.16,0.00%,08/11/17
BABA,151.7,Put,150,08/11/17,1,0.01,0.02,0.02,0.01,12524,5799,2.16,0.00%,08/11/17
OXY,61.13,Put,55,06/15/18,307,3.05,3.18,3.30,3.2,766,357,2.15,28.01%,08/11/17
DKS,34,Call,37,08/18/17,6,0.75,0.88,1.00,0.8,2009,935,2.15,122.70%,08/11/17
JPM,91.42,Put,91,08/11/17,1,0.00,0.02,0.02,0.01,838,390,2.15,0.00%,08/11/17
XOM,78.21,Call,79,08/18/17,6,0.22,0.25,0.28,0.26,571,265,2.15,15.11%,08/11/17
CF,30.51,Call,33.5,08/18/17,6,0.03,0.04,0.05,0.05,510,238,2.14,49.03%,08/11/17
NVDA,155.96,Call,160,09/01/17,20,4.20,4.43,4.65,4.5,512,240,2.13,43.17%,08/11/17
AAPL,157.48,Put,155,08/11/17,1,0.00,0.01,0.01,0.03,24573,11556,2.13,0.00%,08/11/17
MSCC,49.26,Put,40,09/15/17,34,0.00,0.7,0.70,0.19,750,353,2.12,54.62%,08/11/17
CBI,11.8,Call,12,08/18/17,6,0.40,0.48,0.55,0.45,1137,539,2.11,102.42%,08/11/17
SNAP,11.83,Call,12.5,08/25/17,13,0.30,0.42,0.54,0.39,549,260,2.11,80.03%,08/11/17
JCP,3.93,Put,3.5,08/11/17,1,0.00,0.01,0.01,0.01,701,332,2.11,0.00%,08/11/17
JD,45.9,Call,49,08/18/17,6,0.75,0.82,0.89,0.79,3903,1846,2.11,90.22%,08/11/17
SCHW,40.65,Call,38,09/15/17,34,3.00,3.1,3.20,4.95,2874,1362,2.11,28.76%,08/11/17
CMG,326.41,Call,327.5,08/11/17,1,0.00,0.05,0.05,0.04,685,325,2.11,0.00%,08/11/17
JPM,91.42,Call,91.5,08/18/17,6,0.83,0.85,0.86,0.84,1175,558,2.11,20.57%,08/11/17
BIDU,223.49,Put,222.5,08/11/17,1,0.00,0.02,0.02,0.01,1006,481,2.09,0.00%,08/11/17
NVDA,155.96,Put,152.5,08/18/17,6,2.09,2.12,2.15,2.14,2257,1081,2.09,49.94%,08/11/17
AMAT,43.08,Call,43,08/11/17,1,0.06,0.13,0.19,0.07,838,402,2.08,0.00%,08/11/17
CNDT,16.75,Call,17.5,01/19/18,160,1.00,1.15,1.30,1.3,1515,727,2.08,32.56%,08/11/17
MDXG,14.96,Call,17.5,09/15/17,34,0.30,0.4,0.50,0.4,4678,2259,2.07,66.38%,08/11/17
TEVA,17.3,Put,29.5,08/18/17,6,10.20,12.08,13.95,4.2,1934,942,2.05,0.00%,08/11/17
AMZN,967.99,Call,982.5,08/11/17,1,0.00,0.09,0.09,0.01,1060,519,2.04,0.00%,08/11/17
NVDA,155.96,Put,85,10/20/17,69,0.05,0.09,0.12,0.06,711,351,2.03,59.32%,08/11/17
GOOG,914.39,Put,910,08/11/17,1,0.00,0.15,0.15,0.05,717,354,2.03,0.00%,08/11/17
TGTX,11.35,Call,11,09/15/17,34,1.05,1.1,1.15,1.05,551,271,2.03,67.94%,08/11/17
NVDA,155.96,Call,155,11/17/17,97,15.25,15.43,15.60,15.28,538,267,2.01,46.47%,08/11/17
HOLX,38.2,Put,45,09/15/17,34,6.60,6.75,6.90,5.92,1557,775,2.01,0.00%,08/11/17
SBUX,53.18,Call,53.5,08/18/17,6,0.27,0.3,0.33,0.35,994,495,2.01,17.62%,08/11/17
ATHM,61.52,Call,60,08/18/17,6,2.40,2.53,2.65,2.45,516,257,2.01,58.16%,08/11/17
MDCO,37.4,Call,30,09/15/17,34,6.90,7.65,8.40,7,1000,500,2,54.45%,08/11/17
BCRX,4.53,Call,5,09/15/17,34,0.25,0.28,0.31,0.3,1603,800,2,83.78%,08/11/17
PFS,24.44,Put,25,09/15/17,34,0.40,0.98,1.55,0.5,2000,1000,2,22.70%,08/11/17
DOW,63.26,Put,61.5,09/22/17,41,0.85,1.03,1.20,0.7,2638,1319,2,21.78%,08/11/17
EBAY,35.05,Put,43,09/15/17,34,7.75,8.5,9.25,8,2000,1002,2,65.27%,08/11/17
C,66.8,Put,67,08/11/17,1,0.20,0.22,0.24,0.24,4057,2024,2,0.00%,08/11/17
NVDA,155.96,Call,180,09/01/17,20,0.56,0.7,0.83,0.73,4695,2358,1.99,45.89%,08/11/17
ODP,4.27,Put,4,10/20/17,69,0.18,0.2,0.22,0.2,2615,1314,1.99,45.04%,08/11/17
GTN,14.7,Put,15,08/18/17,6,0.45,0.53,0.60,1.2,1000,503,1.99,51.42%,08/11/17
POST,84.46,Call,80,09/15/17,34,5.20,5.45,5.70,7.6,753,378,1.99,26.11%,08/11/17
MDT,83.71,Put,75,08/18/17,6,0.01,0.03,0.05,0.03,1230,617,1.99,45.50%,08/11/17
WDC,79.9,Put,72.5,10/20/17,69,2.19,2.35,2.51,2.28,1125,567,1.98,40.40%,08/11/17
TEVA,17.3,Call,17.5,08/11/17,1,0.01,0.02,0.02,0.01,2141,1085,1.97,0.00%,08/11/17
AMZN,967.99,Call,977.5,08/11/17,1,0.00,0.06,0.06,0.01,751,381,1.97,0.00%,08/11/17
MDCO,37.4,Call,30,08/18/17,6,6.50,7.4,8.30,6.5,1000,511,1.96,0.00%,08/11/17
KSS,38.64,Put,42,08/11/17,1,3.10,3.3,3.50,3.4,669,341,1.96,0.00%,08/11/17
SNAP,11.83,Call,13,09/15/17,34,0.49,0.52,0.54,0.48,2839,1451,1.96,66.53%,08/11/17
SPG,157.89,Call,165,10/20/17,69,2.41,2.58,2.75,2.46,709,361,1.96,19.09%,08/11/17
BTU,28.25,Put,25,10/20/17,69,0.45,0.55,0.65,0.4,2500,1273,1.96,37.60%,08/11/17
BABA,151.7,Put,149,08/11/17,1,0.01,0.02,0.02,0.02,4333,2210,1.96,0.00%,08/11/17
VZ,48.06,Call,75,01/19/18,160,0.00,0.02,0.02,0.02,20000,10231,1.95,24.64%,08/11/17
JD,45.9,Call,46,08/11/17,1,0.00,0.05,0.05,0.02,1157,592,1.95,0.00%,08/11/17
PCLN,1854.17,Put,1860,08/11/17,1,3.50,5,6.50,5,601,310,1.94,0.00%,08/11/17
NFLX,171.4,Call,170,08/11/17,1,1.20,1.4,1.60,1.31,6750,3478,1.94,0.00%,08/11/17
SU,32.41,Put,32,08/18/17,6,0.18,0.21,0.23,0.21,1050,541,1.94,25.04%,08/11/17
HD,154.88,Put,155,08/11/17,1,0.05,0.17,0.29,0.08,1828,947,1.93,0.00%,08/11/17
AAPL,157.48,Call,50,08/18/17,6,106.90,107.53,108.15,110.7,960,498,1.93,361.99%,08/11/17
AMD,12.23,Call,12,08/11/17,1,0.21,0.23,0.25,0.21,3120,1629,1.92,0.00%,08/11/17
KR,23.49,Call,24.5,08/25/17,13,0.20,0.35,0.50,0.2,647,339,1.91,43.03%,08/11/17
GS,224.15,Put,225,08/11/17,1,0.66,0.84,1.02,0.75,2192,1150,1.91,0.00%,08/11/17
TACO,12.7,Put,12.5,09/15/17,34,0.30,0.38,0.45,0.35,550,289,1.9,31.34%,08/11/17
ALGN,173.56,Put,155,09/15/17,34,1.05,1.35,1.65,1.37,501,265,1.89,36.15%,08/11/17
TEVA,17.3,Put,16.5,08/18/17,6,0.21,0.26,0.30,0.21,1772,937,1.89,72.06%,08/11/17
COMM,31.93,Put,38,08/18/17,6,5.90,6.1,6.30,5.9,1005,535,1.88,78.22%,08/11/17
CELG,130.61,Call,131,08/11/17,1,0.00,0.05,0.05,0.01,532,284,1.87,0.00%,08/11/17
DIS,101.99,Call,100,08/11/17,1,1.88,1.98,2.08,2,557,298,1.87,0.00%,08/11/17
JD,45.9,Put,46,08/18/17,6,1.97,2.03,2.09,2.07,1757,942,1.87,92.47%,08/11/17
NVDA,155.96,Call,175,09/15/17,34,2.12,2.16,2.20,2.16,8110,4355,1.86,42.66%,08/11/17
YELP,42.03,Put,39.5,08/18/17,6,0.11,0.16,0.21,0.18,512,276,1.86,48.51%,08/11/17
EXPR,6.28,Call,8,12/15/17,125,0.25,0.35,0.45,0.33,2200,1181,1.86,59.13%,08/11/17
MSFT,72.5,Put,72,08/11/17,1,0.00,0.01,0.01,0.01,3684,1993,1.85,0.00%,08/11/17
DDS,58.01,Put,90,08/18/17,6,31.40,32.6,33.80,17.6,5990,3231,1.85,250.77%,08/11/17
NFLX,171.4,Call,172.5,08/18/17,6,2.46,2.54,2.61,2.61,2451,1323,1.85,37.90%,08/11/17
SRCL,71.03,Put,60,01/18/19,524,3.70,4.25,4.80,3.2,800,433,1.85,29.09%,08/11/17
SHOP,91.71,Put,70,09/08/17,27,0.30,0.38,0.45,0.56,814,440,1.85,65.88%,08/11/17
NVDA,155.96,Put,155,10/20/17,69,10.45,10.58,10.70,10.55,2814,1532,1.84,41.89%,08/11/17
SNAP,11.83,Call,14,09/01/17,20,0.13,0.22,0.30,0.18,608,330,1.84,78.44%,08/11/17
FIVE,48.5,Call,43,08/18/17,6,5.40,5.65,5.90,7.2,633,346,1.83,73.54%,08/11/17
CELG,130.61,Put,130,08/11/17,1,0.00,0.13,0.13,0.02,1081,591,1.83,0.00%,08/11/17
DIS,101.99,Call,102,08/11/17,1,0.00,0.04,0.04,0.09,2165,1186,1.83,0.00%,08/11/17
AABA,57.92,Call,60,08/18/17,6,0.51,0.61,0.71,0.58,7081,3859,1.83,51.25%,08/11/17
NKE,58.97,Call,59.5,08/18/17,6,0.33,0.35,0.36,0.38,559,305,1.83,18.73%,08/11/17
AVGO,244.17,Put,237.5,08/18/17,6,1.40,1.53,1.65,1.73,739,407,1.82,35.74%,08/11/17
BAS,16.52,Call,25,10/20/17,69,0.00,0.8,0.80,0.4,1000,550,1.82,80.36%,08/11/17
NLSN,40.79,Put,40,08/18/17,6,0.25,0.38,0.50,0.34,3242,1790,1.81,34.01%,08/11/17
EMES,6.16,Put,12.5,01/19/18,160,6.20,6.4,6.60,5.96,3282,1817,1.81,70.63%,08/11/17
JD,45.9,Call,46.5,08/18/17,6,1.62,1.68,1.73,1.61,1533,849,1.81,90.79%,08/11/17
JD,45.9,Put,42,08/18/17,6,0.52,0.56,0.59,0.59,1713,950,1.8,92.87%,08/11/17
BIDU,223.49,Call,225,08/11/17,1,0.00,0.04,0.04,0.03,2171,1216,1.79,0.00%,08/11/17
GOOGL,930.09,Put,925,08/11/17,1,0.00,0.05,0.05,0.02,912,511,1.78,0.00%,08/11/17
AMD,12.23,Put,6,10/20/17,69,0.00,0.03,0.03,0.05,2000,1126,1.78,76.36%,08/11/17
JPM,91.42,Put,92,08/11/17,1,0.50,0.55,0.60,0.54,1405,789,1.78,0.00%,08/11/17
CBI,11.8,Call,12.5,08/18/17,6,0.20,0.3,0.40,0.3,609,344,1.77,103.02%,08/11/17
YPF,20.11,Call,20,08/11/17,1,0.00,0.2,0.20,0.33,815,461,1.77,0.00%,08/11/17
VALE,9.69,Put,8,12/15/17,125,0.28,0.29,0.30,0.27,6552,3707,1.77,44.08%,08/11/17
TEVA,17.3,Put,19,09/01/17,20,1.76,1.92,2.07,2.05,1079,610,1.77,48.64%,08/11/17
