Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
HUBG,35.45,Put,35,08/18/17,6,0.20,0.33,0.45,0.25,1005,112,8.97,31.69%,08/11/17
AAPL,157.48,Call,92.5,01/19/18,160,64.90,65.4,65.90,68.05,6505,740,8.79,28.17%,08/11/17
PCLN,1854.17,Call,1865,08/11/17,1,0.00,0.05,0.05,0.05,938,107,8.77,0.00%,08/11/17
MET,46.81,Call,52.5,01/19/18,160,0.69,0.77,0.84,0.74,5065,581,8.72,20.32%,08/11/17
TEVA,17.3,Put,21,08/11/17,1,1.60,2.9,4.20,3.05,1005,117,8.59,0.00%,08/11/17
JCP,3.93,Call,5.5,01/19/18,160,0.22,0.25,0.27,0.21,1466,175,8.38,64.73%,08/11/17
SWKS,103.18,Put,80,01/19/18,160,1.75,1.85,1.95,1.65,6751,809,8.34,38.55%,08/11/17
NVDA,155.96,Call,152.5,08/18/17,6,5.50,5.63,5.75,5.65,1095,133,8.23,50.30%,08/11/17
GOOGL,930.09,Call,932.5,08/11/17,1,0.00,0.05,0.05,0.02,978,119,8.22,0.00%,08/11/17
JCP,3.93,Put,2.5,02/16/18,188,0.18,0.2,0.22,0.2,1713,210,8.16,78.32%,08/11/17
HTZ,18.65,Put,17.5,01/18/19,524,4.70,4.9,5.10,5,1508,185,8.15,66.79%,08/11/17
SCHW,40.65,Put,42,08/11/17,1,1.20,1.35,1.50,0.55,2000,247,8.1,0.00%,08/11/17
NVDA,155.96,Call,160,08/11/17,1,0.00,0.01,0.01,0.01,12819,1585,8.09,0.00%,08/11/17
KO,45.59,Call,46.5,09/01/17,20,0.09,0.16,0.22,0.21,1000,124,8.06,11.25%,08/11/17
CSX,50.27,Call,50.5,08/18/17,6,0.56,0.61,0.65,0.6,3351,419,8,30.22%,08/11/17
SNAP,11.83,Put,21,01/19/18,160,9.15,9.45,9.75,9.02,1000,127,7.87,69.90%,08/11/17
AMZN,967.99,Call,965,08/11/17,1,2.21,2.93,3.65,2.98,4371,557,7.85,0.00%,08/11/17
BHP,40.35,Put,40,01/19/18,160,2.89,2.97,3.05,3.05,2000,262,7.63,30.62%,08/11/17
HOLX,38.2,Put,50,12/15/17,125,11.40,11.8,12.20,11,1110,150,7.4,28.63%,08/11/17
SBGI,31.35,Call,33,09/15/17,34,0.60,0.65,0.70,0.7,2971,402,7.39,33.29%,08/11/17
FCX,13.96,Put,14,09/01/17,20,0.49,0.5,0.50,0.49,985,134,7.35,37.63%,08/11/17
QEP,7.3,Put,25,01/19/18,160,17.60,17.7,17.80,11,2200,300,7.33,100.84%,08/11/17
EIX,79.53,Call,80,08/18/17,6,0.35,0.4,0.45,0.4,2682,369,7.27,14.73%,08/11/17
BP,34.94,Call,35.5,08/18/17,6,0.09,0.11,0.12,0.11,1141,157,7.27,18.59%,08/11/17
JD,45.9,Call,47.5,08/18/17,6,1.23,1.29,1.35,1.25,6687,930,7.19,91.13%,08/11/17
ORCL,48.24,Put,48,08/25/17,13,0.43,0.52,0.60,0.51,1008,141,7.15,17.54%,08/11/17
WFT,3.95,Call,4,08/11/17,1,0.00,0.04,0.04,0.01,1910,271,7.05,0.00%,08/11/17
FCH,7.15,Call,7.5,08/18/17,6,0.00,0.1,0.10,0.2,1000,142,7.04,49.91%,08/11/17
SNAP,11.83,Call,11.5,08/11/17,1,0.28,0.36,0.43,0.32,1470,209,7.03,0.00%,08/11/17
MYL,30.88,Call,31,08/11/17,1,0.01,0.02,0.02,0.02,940,135,6.96,0.00%,08/11/17
VRX,13.89,Call,15.5,08/25/17,13,0.10,0.11,0.11,0.11,1979,285,6.94,55.68%,08/11/17
RDC,9.94,Call,18,10/20/17,69,0.00,0.05,0.05,0.05,3325,485,6.86,65.63%,08/11/17
NVDA,155.96,Call,157.5,08/11/17,1,0.00,0.01,0.01,0.01,11648,1720,6.77,0.00%,08/11/17
