Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
MDLZ,43.27,Put,43,12/15/17,126,2.04,2.11,2.18,2.1,4100,805,5.09,23.03%,08/10/17
GMED,28.78,Call,32.5,09/15/17,35,0.10,0.28,0.45,0.35,1502,297,5.06,38.08%,08/10/17
Q,87.57,Put,90,08/18/17,7,2.00,2.45,2.90,0.7,1756,347,5.06,13.26%,08/10/17
ENDP,7.55,Call,7.5,08/18/17,7,0.30,0.35,0.40,0.35,5168,1025,5.04,84.16%,08/10/17
M,20.67,Call,19,08/18/17,7,1.54,1.72,1.90,1.71,752,150,5.01,47.81%,08/10/17
SPNC,38.45,Call,31,08/18/17,7,5.20,7.6,10.00,8.44,1000,200,5,112.02%,08/10/17
JPM,92.19,Put,92,09/01/17,21,1.41,1.48,1.54,1.21,1263,253,4.99,18.53%,08/10/17
GOOG,907.24,Call,920,08/11/17,0,0.35,0.48,0.60,0.55,627,126,4.98,20.83%,08/10/17
FTNT,36.11,Put,36,01/19/18,161,2.55,2.73,2.90,2.5,600,121,4.96,30.13%,08/10/17
ECL,130.23,Put,130,10/20/17,70,2.90,3.2,3.50,3,533,108,4.94,15.24%,08/10/17
ATVI,60.21,Call,60,08/11/17,0,0.55,0.58,0.61,0.54,1196,243,4.92,37.17%,08/10/17
CVS,79.14,Call,85,09/15/17,35,0.20,0.21,0.21,0.2,4017,820,4.9,17.83%,08/10/17
JPM,92.19,Call,92.5,09/01/17,21,1.36,1.44,1.51,1.62,524,107,4.9,18.11%,08/10/17
DDS,61.7,Put,65,02/16/18,189,9.80,10.55,11.30,10.84,641,131,4.89,49.99%,08/10/17
RCL,117.31,Put,105,09/15/17,35,0.55,0.63,0.70,0.52,1220,252,4.84,31.21%,08/10/17
STLD,35.47,Put,28,08/18/17,7,0.00,0.05,0.05,0.05,585,121,4.83,89.02%,08/10/17
MYL,32.29,Put,32.5,08/11/17,0,0.33,0.4,0.46,0.72,871,181,4.81,41.10%,08/10/17
KITE,120.6,Call,130,08/18/17,7,0.40,0.55,0.70,0.55,641,134,4.78,52.10%,08/10/17
AVGO,240.71,Call,245,08/11/17,0,0.35,0.43,0.50,0.43,533,112,4.76,35.85%,08/10/17
ADP,108.9,Put,105,01/19/18,161,5.20,5.5,5.80,5.5,506,108,4.69,26.58%,08/10/17
AKAO,16.69,Call,20,09/15/17,35,0.30,0.45,0.60,0.45,668,145,4.61,71.06%,08/10/17
NVDA,164.74,Put,141,08/18/17,7,0.97,1.11,1.25,0.97,774,169,4.58,101.29%,08/10/17
RTN,177.62,Call,185,09/15/17,35,1.35,1.46,1.57,1.47,1420,310,4.58,18.55%,08/10/17
AMZN,956.92,Put,955,08/11/17,0,4.50,4.73,4.95,4.7,3129,699,4.48,28.28%,08/10/17
NVDA,164.74,Call,205,08/18/17,7,0.32,0.47,0.62,0.56,1704,382,4.46,101.95%,08/10/17
CF,30.76,Call,25,08/18/17,7,5.70,5.8,5.90,5.8,1171,264,4.44,86.18%,08/10/17
M,20.67,Call,21,08/11/17,0,0.12,0.15,0.18,0.1,1047,237,4.42,65.50%,08/10/17
BG,77.96,Call,90,01/19/18,161,1.50,1.68,1.85,0.95,1000,227,4.41,25.84%,08/10/17
DST,50.88,Put,57.5,08/18/17,7,6.30,6.65,7.00,1.68,736,167,4.41,50.40%,08/10/17
SHOP,88.4,Put,70,01/19/18,161,4.40,4.5,4.60,4.5,1097,249,4.41,55.74%,08/10/17
COL,125.75,Put,105,09/15/17,35,0.40,0.68,0.95,0.4,2163,492,4.4,44.79%,08/10/17
WMT,80.66,Call,82,09/01/17,21,1.20,1.29,1.37,1.41,2400,547,4.39,24.51%,08/10/17
X,23.84,Put,23,01/19/18,161,2.52,2.56,2.59,2.47,7804,1794,4.35,48.87%,08/10/17
