FB,165.61,Call,177.5,08/11/17,16,0.87,0.9,0.93,0.89,1562,212,7.37,32.97%,07/26/17
BLK,432.71,Call,410,01/19/18,177,32.60,34.2,35.80,34.6,1001,136,7.36,16.56%,07/26/17
AKAM,45.49,Put,40,01/18/19,541,4.05,4.2,4.35,4.2,2061,280,7.36,33.48%,07/26/17
BIIB,295.61,Call,310,09/15/17,51,4.80,5,5.20,5.03,2155,295,7.31,23.58%,07/26/17
NUE,58.12,Call,57,07/28/17,2,1.21,1.32,1.43,1.93,1090,150,7.27,49.88%,07/26/17
MRK,61.8,Call,62.5,07/28/17,2,0.43,0.46,0.48,0.49,1800,248,7.26,58.04%,07/26/17
IRBT,106.49,Call,110,08/18/17,23,3.00,3.5,4.00,4,1798,248,7.25,47.52%,07/26/17
WYNN,132,Call,131,07/28/17,2,1.40,1.84,2.27,1.75,847,117,7.24,46.27%,07/26/17
BA,233.45,Call,230,02/16/18,205,13.60,14,14.40,13.75,10139,1407,7.21,16.57%,07/26/17
JPM,91.93,Call,93,09/01/17,37,1.17,1.25,1.32,1.26,1997,280,7.13,14.56%,07/26/17
MGM,33.87,Call,33.5,08/04/17,9,1.12,1.18,1.23,1.18,817,116,7.04,48.99%,07/26/17
JD,45.87,Call,46,08/04/17,9,0.80,0.83,0.85,0.85,1248,178,7.01,32.56%,07/26/17
NOW,109.72,Call,116,07/28/17,2,1.15,1.33,1.50,1.35,837,120,6.98,154.24%,07/26/17
UPS,112.29,Put,107,07/28/17,2,0.20,0.23,0.25,0.27,1103,160,6.89,74.82%,07/26/17
AVGO,257.01,Call,260,07/28/17,2,0.55,0.63,0.70,0.65,1511,223,6.78,31.87%,07/26/17
WFC,54.91,Put,54,08/11/17,16,0.41,0.46,0.50,0.44,2011,298,6.75,19.10%,07/26/17
IMAX,21.85,Call,23,08/18/17,23,0.60,0.63,0.65,0.65,2368,352,6.73,50.17%,07/26/17
AMD,14.76,Call,18.5,08/11/17,16,0.01,0.03,0.05,0.03,739,110,6.72,61.96%,07/26/17
MIDD,130.11,Put,125,09/15/17,51,3.00,3.35,3.70,3.1,1000,149,6.71,29.80%,07/26/17
BABA,155.79,Call,145,08/11/17,16,11.45,11.95,12.45,11.95,1410,211,6.68,38.14%,07/26/17
CEQP,24.75,Call,25,08/18/17,23,0.40,0.48,0.55,0.55,883,133,6.64,24.00%,07/26/17
PYPL,58.79,Put,59,07/28/17,2,1.71,1.79,1.86,1.84,1045,159,6.57,136.54%,07/26/17
FLEX,16.98,Put,16.5,07/28/17,2,0.17,0.2,0.22,0.2,2772,423,6.55,111.29%,07/26/17
MGM,33.87,Put,34,07/28/17,2,0.79,0.84,0.88,0.83,5104,782,6.53,108.51%,07/26/17
SPGI,154.58,Put,145,08/18/17,23,0.55,0.65,0.75,0.65,1019,156,6.53,24.51%,07/26/17
TER,36.8,Put,35,08/18/17,23,0.45,0.6,0.75,0.7,974,151,6.45,37.44%,07/26/17
MLCO,21.32,Put,15.68,01/18/19,541,1.15,1.3,1.45,1.25,1000,155,6.45,39.77%,07/26/17
SGMS,39,Call,40,01/19/18,177,4.80,5,5.20,5.05,20139,3128,6.44,49.59%,07/26/17
MA,130.99,Call,132,07/28/17,2,1.33,1.42,1.51,1.5,1188,186,6.39,68.49%,07/26/17
NVDA,167.26,Put,148,08/25/17,30,2.66,2.78,2.89,2.56,710,112,6.34,53.61%,07/26/17
SBGI,36.35,Call,37,08/18/17,23,0.95,1.08,1.20,1,1489,235,6.34,38.03%,07/26/17
OAS,7.86,Call,8,11/17/17,114,1.00,1.05,1.10,1.23,1100,175,6.29,63.24%,07/26/17
ATSG,24.74,Call,25,08/18/17,23,0.85,0.98,1.10,0.9,821,132,6.22,44.89%,07/26/17
SQ,27.31,Call,29,01/19/18,177,2.80,2.9,3.00,2.95,1210,195,6.21,46.71%,07/26/17
SNAP,13.4,Put,13,08/25/17,30,1.23,1.34,1.45,1.3,1031,166,6.21,103.96%,07/26/17
JD,45.87,Put,45,07/28/17,2,0.16,0.2,0.23,0.18,711,115,6.18,54.63%,07/26/17
DOW,66.42,Call,68,07/28/17,2,0.04,0.11,0.17,0.08,1659,269,6.17,41.63%,07/26/17
AIG,65.19,Call,68,08/11/17,16,0.28,0.34,0.39,0.32,1741,282,6.17,23.57%,07/26/17
MDCO,38.33,Call,40,08/18/17,23,1.10,1.68,2.25,1.9,860,140,6.14,62.87%,07/26/17
NLSN,39.89,Put,35,11/17/17,114,0.70,0.83,0.95,0.85,1750,286,6.12,31.37%,07/26/17
GOOGL,965.31,Call,967.5,07/28/17,2,2.75,3.28,3.80,3.04,1336,220,6.07,21.15%,07/26/17
ATI,18.74,Put,17.5,09/15/17,51,0.60,0.65,0.70,0.65,2000,331,6.04,44.06%,07/26/17
T,38.03,Call,40,11/17/17,114,0.48,0.51,0.54,0.51,893,149,5.99,14.04%,07/26/17
TTPH,7.88,Put,5,02/16/18,205,0.45,0.58,0.70,0.5,967,162,5.97,88.37%,07/26/17
STX,32.34,Call,32.5,07/28/17,2,0.28,0.31,0.33,0.28,1371,232,5.91,56.02%,07/26/17
GLW,30.42,Put,18,01/18/19,541,0.39,0.43,0.47,0.4,1601,272,5.89,34.14%,07/26/17
AMAT,47.45,Call,46.5,08/04/17,9,1.30,1.35,1.39,1.27,2505,428,5.85,27.80%,07/26/17
MELI,286.02,Put,270,08/18/17,23,6.60,7,7.40,6.8,1108,190,5.83,49.98%,07/26/17
CAT,113.52,Put,107,08/18/17,23,0.36,0.39,0.41,0.39,724,125,5.79,21.70%,07/26/17
EW,115.61,Call,125,07/28/17,2,1.05,1.25,1.45,1.13,695,120,5.79,177.55%,07/26/17
AAPL,153.46,Put,141,08/11/17,16,0.36,0.38,0.40,0.36,1432,248,5.77,31.12%,07/26/17
BX,34.49,Call,28,01/19/18,177,6.40,6.53,6.65,6.5,162540,28321,5.74,0.00%,07/26/17
RDC,11.67,Call,14,01/19/18,177,0.85,0.93,1.00,0.95,1305,229,5.7,52.23%,07/26/17
ALXN,131.07,Put,130,08/18/17,23,3.60,4.35,5.10,4.1,1026,180,5.7,38.40%,07/26/17
ICE,66.34,Put,50,01/18/19,541,1.30,1.53,1.75,1.5,599,107,5.6,25.24%,07/26/17
PSA,210.06,Put,210,08/18/17,23,4.20,4.6,5.00,4.79,1562,281,5.56,22.85%,07/26/17
