RENN
XNET
FENG
TWTR
YTRA
YRD
EHIC
JMEI
CMCM
QIWI
GSUM
YIN
BZUN
LITB
MOMO
CCIH
VNET
EBAT
SQ
LN
SNAP
CNDT
COE
CNTF
UAA
SFUN
WUBA
MMYT
CNACU
PI
JMU
AMD
NVDA
SIMO
BYSI
NKE
NVRO
IFMK
UA
TWLO
SINO
RHT
RSXJ
LLIT
CLDC
ZTO
SBUX
LULU
PYPL
ADS
FANH
CMG
PME
SMI
JBL
GDS
YUMC
JD



