BIDU
RENN
XNET
FENG
TWTR
YTRA
YRD
EHIC
JMEI
CMCM
QIWI
GSUM
YIN
BZUN
LITB
MOMO
CCIH
VNET
SOHU
EBAY
SQ
LN
SNAP
CNDT
COE
XRF
CNTF
UAA
SFUN
WUBA
MMYT
CNACU
JMU
AMD
SVA
NVDA
SIMO
BYSI
NKE
NVRO
IFMK
UA
TWLO
SINO
RHT
LLIT
CLDC
CHAD
ZTO
SBUX
LULU
PYPL
ADS
FANH
CMG
PME
SMI
JBL
GDS
YUMC
JD
NOAH
POT
RCON
WB
TOUR
SPU
AAPL
MELI
CHNR
BABA
SEED
AMCN
HPJ
IBM
FMC
BGNE
SQM
HCM
ALB
MICT
KANG
TEDU
ZX
AUO
EDU
IDI
IBKR
AMSC
XIN
CGA
JP
OSN
BEST
CHLN
CLNT
KNE
CREG
JRJC
WBAI
FFHL
OSUR
RBCN
BX
Z
TSLA
CCCR
PCLN
MDSO
BORN
ILMN
CCM
TNDM
ASPS
ATHM
YNDX
YELP
NFEC
FSLR
YGE
CSLT
NQ
GOGO
SINA
AXN
YY
QCOM
DQ
CO
NORD
CCCL
ATAI
AA
HTHT
DXCM
ZPIN
NVFY
S
RWLK
LEJU
HOLI
NCTY
TANH
CSIQ
ANET
GLUU
SOL
LEDS
CBPO
ABAC
WATT
CXDC
CJJD
JASO
ASHR
KGJI
CYD
LFC
CCJ
CNIT
SPI
IDTI
INTC


